[2026-03-11 10:00:27] PROCESS_START | order_id=1
[2026-03-11 10:00:27] PROCESS_END | status=success
[2026-03-11 10:00:27] PROCESS_START | order_id=2
[2026-03-11 10:00:27] PROCESS_END | status=success
[2026-03-11 10:00:27] PROCESS_START | order_id=3
[2026-03-11 10:00:27] PROCESS_END | status=success
[2026-03-11 10:00:27] PROCESS_START | order_id=4
[2026-03-11 10:00:27] PROCESS_END | status=success
[2026-03-11 10:00:27] PROCESS_START | order_id=5
[2026-03-11 10:00:27] PROCESS_END | status=success
[2026-03-11 10:00:27] SHIP_SUCCESS | order_id=1
[2026-03-11 10:00:27] SHIP_SUCCESS | order_id=3
[2026-03-11 10:00:27] DELIVERY_SUCCESS | customer=Alice Smith
